"Time","HASPINi","PLK1i"
0,0,17.4338815435254
1,0,9.01391979574026
2,0,4.64985921508302
3,0,2.7881718584848
4,0,2.08806177002615
5,0,1.84129471132942
6,0,1.75822148040253
7,0,1.7325908875088
8,0,1.72692226405091
9,0,1.72814840923709
10,0,1.73172312810237
11,0,1.73606447232516
12,0,1.74062340584889
13,0,1.74521203264688
14,0,1.74976913003331
15,0,1.7542778563007
16,0,1.75873667829373
17,0,1.76314903028884
18,0,1.76751961974927
19,0,1.77185312279841
20,0,1.77615375074097
21,0,1.78042513922644
22,0,1.78467036823704
23,0,1.78889200095823
24,0,1.79309216199142
25,0,1.79727259718708
26,0,1.80143473643045
27,0,1.80557974617487
28,0,1.8097085752063
29,0,1.81382199414256
30,0,1.81792062788232
31,0,1.82200498299974
32,0,1.82607547021799
33,0,1.83013242241738
34,0,1.83417611096857
35,0,1.83820675637743
36,0,1.8422245400845
37,0,1.84622961105938
38,0,1.85022209345476
39,0,1.85420209120106
40,0,1.85816969305902
41,0,1.86212497460177
42,0,1.86606800264482
43,0,1.86999883620001
44,0,1.87391752917639
45,0,1.87782413071301
46,0,1.881718686773
47,0,1.8856012410607
48,0,1.88947183623193
49,0,1.89333051284973
50,0,1.89717731154497
