"Time","pH3","pH3_CPCa"
0,0,0
1,28.0668174878655,0.205734567744229
2,52.4333574503234,0.737049749722787
3,71.5793475619752,1.39045948747444
4,86.987149388449,2.0658807558512
5,98.4976382128081,2.70651456464659
6,104.409685764354,3.26595722440284
7,106.429859920375,3.71521837281755
8,107.266992650595,4.06816659187266
9,107.648479043072,4.34704283037786
10,107.821185968136,4.56942013411542
11,107.892396919357,4.74841494232486
12,107.913092481411,4.89379266573091
13,107.908626443972,5.01287436490779
14,107.891970642762,5.11119883491897
15,107.869865971531,5.19299750266528
16,107.845820358075,5.26153320824907
17,107.821627702043,5.31934320068341
18,107.798162528983,5.36841573329737
19,107.775806099479,5.41031975254521
20,107.754678798213,5.44630101878422
21,107.734768078069,5.47735443150762
22,107.715997839396,5.50427967140624
23,107.698268052404,5.52772191784414
24,107.681473949455,5.54820511641794
25,107.665516289274,5.566156871094
26,107.65030577999,5.58192803304138
27,107.63576441796,5.59580804368113
28,107.62182524481,5.60803703944181
29,107.608431326176,5.61881539746286
30,107.595534474989,5.62831130413508
31,107.583093913506,5.63666678357321
32,107.571075029966,5.64400249906284
33,107.559448282082,5.65042160495796
34,107.548188264348,5.65601282760221
35,107.537272912895,5.66085296272197
36,107.526682876785,5.66500887925686
37,107.516400998314,5.66853914651382
38,107.506411894274,5.67149536316329
39,107.496701631286,5.6739232369739
40,107.487257461522,5.67586347467838
41,107.478067623048,5.67735250752033
42,107.469121179343,5.67842309768351
43,107.460407894536,5.67910483641557
44,107.451918136645,5.67942456216777
45,107.443642801748,5.67940671086519
46,107.435573255,5.679073609026
47,107.427701284183,5.67844572273116
48,107.420019063382,5.67754186849161
49,107.412519122812,5.67637939469142
50,107.40519432414,5.67497433640189
