"Time","pH3","pH3_CPCa"
0,0,0
1,4.81424123592068e-06,7.71827082350831e-08
2,0.000615283861748077,1.85376478695732e-05
3,0.00565106359296205,0.000240857128427964
4,0.0209719277491696,0.00111892754791816
5,0.0505596569421011,0.0031545660365238
6,0.0955714017825009,0.00668100998342975
7,0.155076405043943,0.0118027389752068
8,0.226930991097876,0.0184340483567367
9,0.30838810856933,0.0263630305168085
10,0.396472775309322,0.0353076487937318
11,0.488237795758869,0.044957452942285
12,0.580957329081976,0.055003666225886
13,0.672260226086788,0.0651601833309953
14,0.760199430076716,0.075176831800717
15,0.843266196088196,0.0848460300723662
16,0.920364955336391,0.0940042645871301
17,0.990765973780946,0.102530030366661
18,1.05404839757854,0.110339612288734
19,1.11004240827582,0.117381834077969
20,1.15877538889143,0.123632547755062
21,1.20042416442856,0.129089298413161
22,1.23527601184506,0.133766658052942
23,1.26369366301002,0.13769183662005
24,1.28608980506743,0.140901272804615
25,1.3029057081123,0.143437677553108
26,1.31459491134107,0.145347670609057
27,1.32161082465446,0.146679904154567
28,1.32439758818716,0.147483609225475
29,1.32338347931601,0.147807488194326
30,1.31897635536249,0.147698893265809
31,1.31156071392402,0.147203239506824
32,1.30149596591235,0.146363600978053
33,1.28911567759087,0.145220456663786
34,1.2747274800621,0.143811545902195
35,1.25861356176113,0.142171819170591
36,1.24103148065331,0.140333448686185
37,1.22221524347549,0.1383258890241
38,1.20237657927225,0.136175976235802
39,1.18170628776927,0.133908048170641
40,1.16037565738423,0.131544083479134
41,1.13853786644148,0.129103846522817
42,1.11632938828574,0.126605039680126
43,1.09387133861372,0.124063453734307
44,1.07127077162139,0.121493116386613
45,1.04862192177829,0.118906437559576
46,1.02600735655113,0.116314346367037
47,1.00349906637149,0.113726422522333
48,0.981159473166853,0.111151019325125
49,0.959042372479337,0.108595379798993
50,0.937193796066703,0.106065743844194
