"Time","bound_active_CPC"
0,0
1,3.45621383984174
2,3.41853094147607
3,3.36044488746256
4,3.28426484247228
5,3.19646058780409
6,3.10401493177299
7,3.01338654937921
8,2.9292726234046
9,2.85411242993605
10,2.78866598514523
11,2.73267261095879
12,2.68533233044677
13,2.64561459899989
14,2.61244137160773
15,2.5847864693081
16,2.56172349094911
17,2.54244342976082
18,2.52625529503608
19,2.51257802041968
20,2.50092860422693
21,2.490909054859
22,2.4821934175209
23,2.47451658709723
24,2.46766373899047
25,2.46146156578653
26,2.4557707917923
27,2.45047991180942
28,2.44549998227951
29,2.44076033707699
30,2.43620507174739
31,2.43179016983403
32,2.42748116630231
33,2.42325124709871
34,2.41907971368976
35,2.41495073699469
36,2.41085235644093
37,2.40677567097962
38,2.40271419004038
39,2.3986633113539
40,2.39461990387813
41,2.39058197328452
42,2.38654839599176
43,2.38251870739101
44,2.37849293442909
45,2.37447146216514
46,2.370454929793
47,2.36644415028802
48,2.36244004612913
49,2.35844360038279
50,2.35445582078634
