"Time","CPCa","pH2A_SGO1_CPCa","H3_CPCa","pH3_CPCa","SGO1_CPCa","CPCi","pH2A_SGO1_CPCi","H3_CPCi","pH3_CPCi","SGO1_CPCi"
0,3.55350775401979,0,0,0,0,2.36900516934652,0,0,0,0
1,0.00919756048066601,3.34512348279296,3.1125161679248,7.71827082350831e-08,0.00840873037828062,0.00617590688850913,2.24070750757776,2.08487729169066,5.17823726595913e-08,0.00564663413873152
2,0.00879909760496976,3.44295528976557,2.9047326133174,1.85376478695732e-05,0.0039658421395503,0.00594886242245948,2.31441844664391,1.95498657088772,1.25052527237657e-05,0.00267881107579433
3,0.00840446012016429,3.39313015902402,2.74629475318028,0.000240857128427964,0.00342783071798679,0.00572172692780636,2.29137003614215,1.85960531495787,0.000163366770566074,0.00232978800116153
4,0.008019991378864,3.27850538382954,2.60993771137778,0.00111892754791816,0.00320196148677284,0.00549857315856075,2.22583710254965,1.77932052741499,0.000763185672866293,0.0021902566751524
5,0.00766007474358972,3.13430187646306,2.48629602975642,0.0031545660365238,0.00306525186715166,0.00528925972792629,2.14070582456178,1.70730406686307,0.00216414335888133,0.00211060344464131
6,0.00733838665083231,2.98056732240668,2.37357374386871,0.00668100998342975,0.00296229893811497,0.00510344304928139,2.04898952725245,1.64210779866219,0.00461117041394036,0.00205349733514021
7,0.00706500883093998,2.82893287255052,2.2730340975134,0.0118027389752068,0.00287551574619022,0.00494851034830826,1.9582411601016,1.58452661918597,0.00819733240777043,0.00200702120579708
8,0.00683941731224441,2.68582567750282,2.18594894712491,0.0184340483567367,0.00279866092927177,0.00482456941352286,1.87264127847399,1.53546116629194,0.0128858210729509,0.00196692229642375
9,0.00665589186264114,2.55430193140046,2.11227063985475,0.0263630305168085,0.00272921134584167,0.00472807597077825,1.79418638615725,1.49495629260511,0.0185501367242282,0.00193147763642949
10,0.00650770837376343,2.43538214405586,2.05094536683012,0.0353076487937318,0.00266596373796251,0.00465471976738822,1.72355997773177,1.46238320912784,0.0250102018895574,0.00189987303845279
11,0.00638849944925635,2.32893221557698,2.00043810346955,0.044957452942285,0.00260821338522469,0.00460037267749649,1.66070513428092,1.43678209255892,0.0320599465443133,0.00187164379786902
12,0.00629271748727027,2.23421006359717,1.95910055421003,0.055003666225886,0.00255545363937293,0.00456141883703248,1.60517683646246,1.41710632440111,0.0394879970631235,0.00184646715548922
13,0.00621572555797047,2.15019337448418,1.92537516943756,0.0651601833309953,0.00250726385968143,0.00453482688014968,1.55635124090586,1.40235956519703,0.0470928858029225,0.00182408294186616
14,0.00615373573869527,2.07577067102223,1.89788708509758,0.075176831800717,0.00246326782561837,0.0045181153288433,1.51354656408681,1.39165861719214,0.0546933789963817,0.00180426288241429
15,0.0061036923684583,2.00984694791152,1.87546961814884,0.0848460300723662,0.00242311859232852,0.00450927874763032,1.47608936819085,1.38425195200008,0.0621343949462109,0.00178679864065286
16,0.00606314725318849,1.95139829273446,1.85715593756609,0.0940042645871301,0.00238649317951854,0.00450670722148353,1.44334862047774,1.37951547242443,0.0692892911402061,0.00177149714362489
17,0.00603014578638517,1.89949626847955,1.84215616964735,0.102530030366661,0.00235309079131707,0.0045091123777174,1.41475085645261,1.37693833294682,0.0760595328401094,0.00175817874839599
18,0.00600312966853087,1.85331485285104,1.82983022272244,0.110339612288734,0.00232263179377358,0.00451546414143625,1.38978455034821,1.37610571340302,0.0823726435131185,0.00174667622539749
19,0.00598085686231667,1.81212786967905,1.81966154199344,0.117381834077969,0.00229485706162462,0.00452493864194477,1.36799865373157,1.37668205278101,0.0881792139976297,0.00173683418464693
20,0.00596233726664141,1.7753017740298,1.81123401748799,0.123632547755062,0.00226952709790457,0.00453687641499827,1.34899830660936,1.37839625884059,0.0934495318062785,0.00172850847518646
21,0.00594678122761788,1.74228640039542,1.80421248220571,0.129089298413161,0.00224642117070509,0.00455074897163793,1.33243931780445,1.38102920830386,0.0981701598971767,0.00172156566595658
22,0.00593355796427583,1.71260453600834,1.79832649008195,0.133766658052942,0.00222533596564725,0.00456613183682405,1.31802189958153,1.38440335149677,0.102340848991126,0.00171588225610157
23,0.00592216440054766,1.68584351357155,1.79335779016502,0.13769183662005,0.0022060850480866,0.00458268438420655,1.3054856861018,1.38837470098206,0.105971544201128,0.00171134442638708
24,0.00591219840889067,1.66164589595058,1.78912972193577,0.140901272804615,0.00218849742620212,0.00460013242802897,1.2946041276155,1.39282604832036,0.109079998509402,0.0017078472217713
25,0.0059033387859924,1.63970195824173,1.78549904422097,0.143437677553108,0.00217241660631247,0.00461825527033599,1.28517999132629,1.39766174759496,0.111689654400974,0.00170529405443435
26,0.00589532909417728,1.61974297131654,1.78234937342422,0.145347670609057,0.00215769950618713,0.00463687524049099,1.27704132894168,1.40280352644265,0.113827906962812,0.00170359610767155
27,0.00588796469282934,1.60153541145711,1.77958597411177,0.146679904154567,0.00214421559472036,0.00465584923737884,1.27003799366889,1.40818716516836,0.11552468861648,0.00170267188861639
28,0.00588108246213301,1.58487597065561,1.77713158728932,0.147483609225475,0.00213184582154959,0.00467506200941473,1.26403862993088,1.41375983359377,0.116811339689931,0.00170244663211531
29,0.00587455266546828,1.56958731225473,1.77492311022407,0.147807488194326,0.00212048182293093,0.00469442090439474,1.25892810569112,1.41947797192312,0.117719719147062,0.00170285187733858
30,0.00586827233508093,1.55551445706885,1.77290893660163,0.147698893265809,0.00211002502517162,0.00471385148466492,1.25460531925978,1.4253055905812,0.118281517773324,0.00170382497347381
31,0.005862159995681,1.54252170178617,1.77104681755828,0.147203239506824,0.00210038589879085,0.00473329404353373,1.25098132219252,1.4312128999669,0.118527740920583,0.00170530867158178
32,0.0058561515014988,1.53049000305371,1.76930214601265,0.146363600978053,0.00209148319670197,0.00475270090463361,1.2479777202492,1.43717520966348,0.118488326881554,0.00170725070211877
33,0.00585019662147557,1.51931474123734,1.76764656541135,0.145220456663786,0.00208324321516228,0.00477203409396368,1.24552530063137,1.44317203184289,0.118191878465267,0.00170960335519016
34,0.00584425630030493,1.50890382330725,1.76605685041206,0.143811545902195,0.00207559928544065,0.00479126354974705,1.2435628634247,1.4491863586248,0.117665479967006,0.00171232321217857
35,0.00583830049925467,1.49917604377447,1.76451399127763,0.142171819170591,0.00206849102686449,0.00481036565069765,1.2420362068095,1.45520406724611,0.116934589792978,0.00171537070546265
