"Time","SGO1","pH2A_SGO1","pH2A_SGO1_CPCi","pH2A_SGO1_CPCa","SGO1_CPCi","SGO1_CPCa"
0,7.06702815181287,0,0,0,0,0
1,0.178593096679662,22.1447733549283,0.685250726196651,1.02060933776631,0.00559060751423733,0.0083245246009005
2,0.0621914747956104,21.4063407180834,0.865226919723549,1.28057598057125,0.00255892228502854,0.00378671207772633
3,0.0446329016769501,20.7696286599549,1.00360380585467,1.4766021010332,0.00221001032533689,0.00324951524339745
4,0.0369406702970534,20.2950228950629,1.1123906825181,1.62768278265092,0.00208661891319338,0.00304835155856871
5,0.0325838781630372,19.8508109864926,1.19257810631416,1.73611867954703,0.00202701167832383,0.00294211079294242
6,0.0297500589850445,19.376687524398,1.2462671785621,1.80555988090327,0.00198894167406095,0.00286808498771584
7,0.02774446172055,18.8637700135936,1.27776785442658,1.84262756134053,0.00195885792922967,0.00280626553526213
8,0.0262441536178322,18.32391950571,1.29209717241585,1.85477734325023,0.00193222531892755,0.002749985224577
9,0.0250780581419162,17.7736016288748,1.29378814446806,1.84866057675094,0.00190754327443058,0.00269704008127428
10,0.0241464670925339,17.2274838309341,1.28654564031091,1.82968594613018,0.00188437959444365,0.00264678535284822
11,0.0233868820134575,16.6966819024997,1.27325084593412,1.80205316252713,0.00186267111430472,0.00259910886848946
12,0.0227578288004092,16.1888141646482,1.25607795290777,1.76893206534478,0.00184246215654193,0.00255405024729963
13,0.0222304967310113,15.7086111540593,1.23663332616133,1.73266677174754,0.00182380789791708,0.00251166190377316
14,0.0217841187935552,15.2586022956952,1.21608253245826,1.69495960767021,0.00180674211835841,0.00247196368071673
15,0.0214032623448072,14.8397160461175,1.19525582173936,1.65702332908898,0.00179126994812683,0.00243493345387197
16,0.021076165170951,14.4517602113194,1.17473172403937,1.6197019233751,0.00177736997207051,0.00240051100195951
17,0.0207936736533222,14.0937877783094,1.15490155350141,1.58356416611458,0.00176499925453365,0.00236860585410298
18,0.0205485375662336,13.7643682703749,1.13601861051351,1.54897533988261,0.00175409870828293,0.00233910545637374
19,0.0203349287806063,13.4617849290033,1.11823535176607,1.51615170834264,0.0017445979130472,0.00231188241030105
20,0.0201481046043672,13.1841759764808,1.101631307091,1.48520165043992,0.00173641913585122,0.00228680045803255
21,0.0199841652664274,12.9296343021472,1.0862340480461,1.45615671031184,0.00172948057545052,0.00226371927989812
22,0.0198398723758099,12.6962713443243,1.07203455187913,1.42899443117157,0.00172369867655898,0.00224249785255841
23,0.0197125206748783,12.4822679701708,1.05899906181151,1.40365607048679,0.00171899026611297,0.00222299757747352
24,0.0195998330750283,12.2858987431328,1.04707741114506,1.38005903245315,0.00171527379173878,0.00220508400038627
25,0.0194998819116806,12.1055492315778,1.03620931766521,1.35810629500153,0.00171247038050445,0.00218862828318711
26,0.0194110280100899,11.9397238467053,1.02632891877263,1.33769319635876,0.00171050451873841,0.00217350809715549
27,0.0193318714723066,11.7870478310678,1.01736802975953,1.31871230081936,0.00170930454343514,0.00215960823651254
28,0.0192612109420341,11.6462650653166,1.00925843863276,1.30105681005703,0.00170880286009542,0.00214682081903832
29,0.0191980139662229,11.5162333132397,1.00193349241833,1.28462290374397,0.0017089361540812,0.00213504547914031
30,0.0191413884926593,11.3959178322712,0.995329157293385,1.26931128386389,0.00170964534221164,0.00212418917990648
31,0.0190905624942132,11.2843840064551,0.989384687209152,1.25502812690592,0.00171087555041472,0.00211416606981448
32,0.0190448658621242,11.1807896345089,0.984043012721628,1.24168561407517,0.00171257598943549,0.00210489718719747
33,0.0190037154769353,11.0843771039974,0.979250921233685,1.22920214784781,0.00171469979178568,0.0020963101214064
34,0.0189666025340784,10.9944658356763,0.974959097390436,1.21750235986628,0.00171720383650338,0.00208833865780745
35,0.0189330820702628,10.9104449471181,0.971122052499145,1.20651695458375,0.00172004853045855,0.00208092237027866
36,0.0189027644194038,10.8317664771946,0.967697993817101,1.19618246577064,0.00172319762148407,0.00207400626225157
37,0.0188753073990123,10.7579390775874,0.964648647848062,1.18644094769213,0.00172661796029163,0.00206754034392583
38,0.0188504095648272,10.6885221610025,0.961939052890509,1.17723962401946,0.00173027928540187,0.00206147925145656
39,0.0188278053527267,10.6231206202323,0.959537342144751,1.1685305267053,0.00173415403574348,0.00205578190874774
40,0.0188072600279126,10.5613799909434,0.957414518642918,1.16027012650205,0.00173821712390968,0.00205041114303545
41,0.0187885658517309,10.5029821375423,0.955544236566395,1.15241897697836,0.00174244576442704,0.00204533338354842
42,0.0187715388707896,10.44764132627,0.953902585062354,1.14494136583288,0.00174681928718135,0.00204051834605685
43,0.0187560149443965,10.3951007428719,0.952467884515164,1.13780498828048,0.00175131892783103,0.00203593868970394
44,0.0187418488159082,10.3451293580755,0.951220493215868,1.13098063911275,0.0017559277443549,0.0020315698608023
45,0.0187289101838158,10.2975191272603,0.950142624790432,1.12444192367795,0.0017606303698182,0.0020273897028339
46,0.0187170833252164,10.2520825120213,0.949218181182648,1.1181649946445,0.00176541295778674,0.00202337835480657
47,0.0187062642630528,10.208650266894,0.948432596758128,1.11212830765301,0.00177026299955698,0.00201951795825747
48,0.0186963599612201,10.167069477597,0.94777269595066,1.10631239919162,0.0017751692211221,0.00201579249168372
49,0.0186872871227179,10.1272018025134,0.947226561240475,1.10069968167316,0.0017801214798678,0.00201218760597684
50,0.0186789705748573,10.088921927534,0.946783414118873,1.09527425942395,0.00178511064473865,0.00200869043290185
