"Time","bound_active_CPC"
0,0
1,6.46604845827874
2,6.35167228287039
3,6.14309360005072
4,5.89276398424201
5,5.62681772412316
6,5.36378437519693
7,5.11664522478532
8,4.89300733391374
9,4.69566481311787
10,4.52430112341767
11,4.37693598537404
12,4.25086973767246
13,4.14323599111241
14,4.05129785574615
15,3.97258571472505
16,3.9049449880672
17,3.84653555928488
18,3.79580731965599
19,3.75146610281209
20,3.71243786637075
21,3.67783460218499
22,3.64692302010888
23,3.61909922540471
24,3.59386538811716
25,3.57081109662212
26,3.54959771485601
27,3.52994550531816
28,3.51162301299195
29,3.49443839249606
30,3.47823231196146
31,3.46287214475006
32,3.44824723324111
33,3.43426500652763
34,3.42084781890694
35,3.40793034524956
36,3.39545746057675
37,3.38338249718126
38,3.37166580912382
39,3.36027359471201
40,3.3491769253304
41,3.33835094334641
42,3.32777420143307
43,3.31742811316854
44,3.30729650055613
45,3.2973652131747
46,3.28762181802449
47,3.27805533476139
48,3.26865601982145
49,3.25941518338547
50,3.2503250353764
