"Time","pH3_CPCi"
0,0
1,0.138155588056643
2,0.498275908906105
3,0.946009644087552
4,1.41393100764694
5,1.86269192417478
6,2.259356012089
7,2.58263141141595
8,2.84109731894288
9,3.04956737456658
10,3.2198916203928
11,3.36097343406594
12,3.47946464965114
13,3.58035721144571
14,3.66742404335011
15,3.74353983154168
16,3.81091229790774
17,3.87124935843535
18,3.9258812390473
19,3.97585043809834
20,4.02197850567438
21,4.06491628535883
22,4.10518247823108
23,4.14319187379815
24,4.17927825956642
25,4.21371152807652
26,4.24671106885353
27,4.27845620295751
28,4.30909436447502
29,4.33874751210655
30,4.36751717754655
31,4.39548845611843
32,4.4227331606412
33,4.44931232957478
34,4.47527821630432
35,4.50067588557038
36,4.52554448280184
37,4.54991825411894
38,4.57382737094308
39,4.59729859239029
40,4.6203558057026
41,4.64302046180113
42,4.66531193536449
43,4.68724781753411
44,4.70884415891067
45,4.73011567089519
46,4.75107589275159
47,4.77173733204666
48,4.79211158256275
49,4.81220942497923
50,4.83204091239049
