"Time","pH3","pH3_CPCa","pH3_CPCi"
0,0,0,0
1,4.81424123592068e-06,7.71827082350831e-08,5.17823726595913e-08
2,0.000615283861748077,1.85376478695732e-05,1.25052527237657e-05
3,0.00565106359296205,0.000240857128427964,0.000163366770566074
4,0.0209719277491696,0.00111892754791816,0.000763185672866293
5,0.0505596569421011,0.0031545660365238,0.00216414335888133
6,0.0955714017825009,0.00668100998342975,0.00461117041394036
7,0.155076405043943,0.0118027389752068,0.00819733240777043
8,0.226930991097876,0.0184340483567367,0.0128858210729509
9,0.30838810856933,0.0263630305168085,0.0185501367242282
10,0.396472775309322,0.0353076487937318,0.0250102018895574
11,0.488237795758869,0.044957452942285,0.0320599465443133
12,0.580957329081976,0.055003666225886,0.0394879970631235
13,0.672260226086788,0.0651601833309953,0.0470928858029225
14,0.760199430076716,0.075176831800717,0.0546933789963817
15,0.843266196088196,0.0848460300723662,0.0621343949462109
16,0.920364955336391,0.0940042645871301,0.0692892911402061
17,0.990765973780946,0.102530030366661,0.0760595328401094
18,1.05404839757854,0.110339612288734,0.0823726435131185
19,1.11004240827582,0.117381834077969,0.0881792139976297
20,1.15877538889143,0.123632547755062,0.0934495318062785
21,1.20042416442856,0.129089298413161,0.0981701598971767
22,1.23527601184506,0.133766658052942,0.102340848991126
23,1.26369366301002,0.13769183662005,0.105971544201128
24,1.28608980506743,0.140901272804615,0.109079998509402
25,1.3029057081123,0.143437677553108,0.111689654400974
26,1.31459491134107,0.145347670609057,0.113827906962812
27,1.32161082465446,0.146679904154567,0.11552468861648
28,1.32439758818716,0.147483609225475,0.116811339689931
29,1.32338347931601,0.147807488194326,0.117719719147062
30,1.31897635536249,0.147698893265809,0.118281517773324
31,1.31156071392402,0.147203239506824,0.118527740920583
32,1.30149596591235,0.146363600978053,0.118488326881554
33,1.28911567759087,0.145220456663786,0.118191878465267
34,1.2747274800621,0.143811545902195,0.117665479967006
35,1.25861356176113,0.142171819170591,0.116934589792978
36,1.24103148065331,0.140333448686185,0.116022983293069
37,1.22221524347549,0.1383258890241,0.114952738511867
38,1.20237657927225,0.136175976235802,0.113744256426544
39,1.18170628776927,0.133908048170641,0.112416302624476
40,1.16037565738423,0.131544083479134,0.110986068362257
41,1.13853786644148,0.129103846522817,0.109469240973011
42,1.11632938828574,0.126605039680126,0.10788008460622
43,1.09387133861372,0.124063453734307,0.106231523733705
44,1.07127077162139,0.121493116386613,0.10453522918888
45,1.04862192177829,0.118906437559576,0.102801705475519
46,1.02600735655113,0.116314346367037,0.101040374841878
47,1.00349906637149,0.113726422522333,0.099259660135775
48,0.981159473166853,0.111151019325125,0.0974670637855117
49,0.959042372479337,0.108595379798993,0.0956692440334715
50,0.937193796066703,0.106065743844194,0.0938720862511645
