"Time","pH3_CPCi"
0,0
1,6.02867073088072e-09
2,2.44997904358202e-06
3,4.12391732719858e-05
4,0.00022444853567179
5,0.000704868758283842
6,0.00161506708870693
7,0.00303024303907937
8,0.00496403746555849
9,0.00738078869241469
10,0.0102115052133948
11,0.0133680412516432
12,0.0167543142391043
13,0.0202747581903444
14,0.0238403469300828
15,0.0273724339249635
16,0.0308047383682897
17,0.0340839072197505
18,0.0371690632411749
19,0.0400307244122441
20,0.0426493968990207
21,0.0450140343728534
22,0.0471205809660919
23,0.0489705172986895
24,0.0505696651357275
25,0.0519271100323228
26,0.053054302355329
27,0.0539643138072015
28,0.054671235227963
29,0.0551896953856572
30,0.0555344830658103
31,0.0557202565711189
32,0.0557613239923386
33,0.0556714829606787
34,0.0554639059379844
35,0.0551510658854141
36,0.0547446895203073
37,0.0542557341889648
38,0.0536943839758429
39,0.0530700583388005
40,0.0523914320386055
41,0.0516664612103013
42,0.0509024158622025
43,0.0501059149349541
44,0.0492829636140932
45,0.0484389922277068
46,0.0475788942659575
47,0.0467070645307142
48,0.0458274359202954
49,0.0449435153920371
50,0.0440584179177681
