"Time","pH2A_SGO1_CPCi","SGO1_CPCi"
0,0,0
1,0.685250726196651,0.00559060751423733
2,0.865226919723549,0.00255892228502854
3,1.00360380585467,0.00221001032533689
4,1.1123906825181,0.00208661891319338
5,1.19257810631416,0.00202701167832383
6,1.2462671785621,0.00198894167406095
7,1.27776785442658,0.00195885792922967
8,1.29209717241585,0.00193222531892755
9,1.29378814446806,0.00190754327443058
10,1.28654564031091,0.00188437959444365
11,1.27325084593412,0.00186267111430472
12,1.25607795290777,0.00184246215654193
13,1.23663332616133,0.00182380789791708
14,1.21608253245826,0.00180674211835841
15,1.19525582173936,0.00179126994812683
16,1.17473172403937,0.00177736997207051
17,1.15490155350141,0.00176499925453365
18,1.13601861051351,0.00175409870828293
19,1.11823535176607,0.0017445979130472
20,1.101631307091,0.00173641913585122
21,1.0862340480461,0.00172948057545052
22,1.07203455187913,0.00172369867655898
23,1.05899906181151,0.00171899026611297
24,1.04707741114506,0.00171527379173878
25,1.03620931766521,0.00171247038050445
26,1.02632891877263,0.00171050451873841
27,1.01736802975953,0.00170930454343514
28,1.00925843863276,0.00170880286009542
29,1.00193349241833,0.0017089361540812
30,0.995329157293385,0.00170964534221164
31,0.989384687209152,0.00171087555041472
32,0.984043012721628,0.00171257598943549
33,0.979250921233685,0.00171469979178568
34,0.974959097390436,0.00171720383650338
35,0.971122052499145,0.00172004853045855
36,0.967697993817101,0.00172319762148407
37,0.964648647848062,0.00172661796029163
38,0.961939052890509,0.00173027928540187
39,0.959537342144751,0.00173415403574348
40,0.957414518642918,0.00173821712390968
41,0.955544236566395,0.00174244576442704
42,0.953902585062354,0.00174681928718135
43,0.952467884515164,0.00175131892783103
44,0.951220493215868,0.0017559277443549
45,0.950142624790432,0.0017606303698182
46,0.949218181182648,0.00176541295778674
47,0.948432596758128,0.00177026299955698
48,0.94777269595066,0.0017751692211221
49,0.947226561240475,0.0017801214798678
50,0.946783414118873,0.00178511064473865
