"Time","HASPINa","PLK1a"
0,0,1.9370979492806
1,9.92073497761252,10.3697189496889
2,9.9390232905428,14.7299755394844
3,9.94382653394954,16.5892903759348
4,9.94545569125035,17.2885128093067
5,9.94609356596093,17.5351857667694
6,9.94639231854982,17.6184879865847
7,9.94656126337606,17.6444430971492
8,9.94667044471246,17.6504353147253
9,9.94674611264647,17.6494962703978
10,9.94679981883329,17.6461626284808
11,9.94683775202988,17.64201729946
12,9.9468638687822,17.6376141192392
13,9.9468809943848,17.6331468170111
14,9.94689125400067,17.628682324513
15,9.94689627802545,17.6242426261753
16,9.94689732398697,17.6198336995101
17,9.94689536142732,17.6154558594716
18,9.94689113609674,17.6111075123973
19,9.94688521984528,17.6067865399528
20,9.94687804958471,17.6024908140628
21,9.94686995784581,17.598218384205
22,9.94686119672845,17.5939675274838
23,9.94685195618876,17.5897367651111
24,9.94684237860963,17.5855248374391
25,9.94683256990795,17.5813306837055
26,9.94682260816571,17.5771534142871
27,9.94681255029157,17.5729922882826
28,9.94680243717239,17.5688466874362
29,9.94679229762992,17.5647160983894
30,9.94678215146496,17.5606000932842
31,9.94677201178765,17.5564983168575
32,9.94676188680104,17.5524104717243
33,9.94675178115625,17.5483363090464
34,9.94674169697955,17.5442756191987
35,9.94673163464659,17.5402282246411
36,9.94672159336065,17.5361939739504
37,9.94671157158199,17.532172736588
38,9.94670156734279,17.5281643993058
39,9.9466915784741,17.5241688628265
40,9.94668160276785,17.520186038231
41,9.94667163808697,17.5162158459668
42,9.94666168244011,17.5122582135079
43,9.94665173402714,17.5083130739466
44,9.9466417912653,17.5043803647715
45,9.94663185279937,17.5004600270313
46,9.94662191750146,17.4965520049674
47,9.94661198446857,17.4926562438091
48,9.94660205300198,17.488772692412
49,9.94659212260044,17.484901299439
50,9.94658219294067,17.481042015202
