run,seed,cv,result_dir,Dcyt,kcatCPC,KmCPC,kbind,KdpH3,kcisCPC,KdNDC80TTK,KdNDC80pTTK,kcisTTK,kcatTTK,KmTTK,KdSgo1,kcatPLK1,KmPLK1,KdpH2ASgo1,KdH3,alpha,Da,kcatH2AH3,CPC_copiespc,NDC80_copiespc,KNL1_copiespc,BUB1_copiespc,SGO1_copiespc,TTK_copiespc,HASPIN_copiespc,PLK1_copiespc,kcatCPCsub,KmCPCsub,kppCPC,kcatTTKsub,kmTTKsub,alpha_kt,Da_kt,KmH2AH3,kpp_ref,kcatplk1,Kmplk1
0,607,0.1,/Users/smgroves/Documents/Github/VCell_Analysis/3c_run_pyvcell/workspace/ensemble_run0_brcd607,0.9745905389983507,0.019962402055577172,73.85054669211323,0.20168366189682613,0.08747591483345996,1.3022754761259706e-07,8.505834756893567,0.21275333987771522,5.4031849701774184e-05,1.5299243734986991,44.1866966069256,0.05337369962290294,13.830313587867943,76.01608812671236,0.09548102245423874,0.361623594103634,0.6615582522908018,((0.001 * vcell_upscaling))*1.090847031986143,1.784498171429137,432976.5559974842,312877.6197890177,126040.84981157503,339276.0839079131,492509.49376216193,146323.95039574738,116837.36535441349,1420437.8756758017,0.778799097406482,22.26365143680849,0.0006402330505955248,0.028411657460158453,18.162438623718003,0.5145028022287816,((0.001 * vcell_upscaling))*0.8921998496361243,10.28664411489895,0.00968119746606381,1.4815969953032608,70.39239626627591
1,389,0.1,/Users/smgroves/Documents/Github/VCell_Analysis/3c_run_pyvcell/workspace/ensemble_run1_brcd389,1.0143181179672836,0.019478023446977934,85.97090856165758,0.18770566074519404,0.10086882256973176,1.1859462030533972e-07,8.84266395965898,0.2136331784869941,5.4618985217115814e-05,1.5320489603622633,51.53034720318465,0.04380742991415247,11.001997913034598,87.79111562512978,0.094099935391921,0.3915922408410876,0.5660895010880913,((0.001 * vcell_upscaling))*0.9254218391454223,1.548879844772099,451678.14004468167,343791.9148177412,130612.66713965069,332166.49165794946,479173.07847071113,168364.858838211,110022.54932632105,1244814.719367159,0.6481447859580031,22.53049273958662,0.0006730460705599259,0.03505966020329265,18.621896657906614,0.5440315836805285,((0.001 * vcell_upscaling))*0.9331876425957405,10.537976586372048,0.007875145509343724,1.4983675393331968,85.7099628222041
2,497,0.1,/Users/smgroves/Documents/Github/VCell_Analysis/3c_run_pyvcell/workspace/ensemble_run2_brcd497,1.1924962425362648,0.020546137747393747,92.81369259909255,0.19136358632331324,0.08082524713564827,1.1314970843144852e-07,9.414848166716835,0.26785142586861677,5.21123580442647e-05,1.778958066501259,60.93258871198622,0.05287989249453879,12.146618474852783,84.16122946249656,0.10797027683473559,0.3756693124804409,0.4276880460606897,((0.001 * vcell_upscaling))*1.1076934386478858,1.6072225346034892,422724.3044460654,264511.9240058104,159402.76088792775,288595.6230170888,586667.9611080486,133354.236863989,97865.80957848042,1481462.1156645683,0.6688224479658827,21.874111250218693,0.0005331430304822964,0.03182980124628698,23.704586710821864,0.5440729410872822,((0.001 * vcell_upscaling))*0.9536794824937858,9.010749486173012,0.011105951650728581,1.4010622021755226,80.94263647977515
3,859,0.1,/Users/smgroves/Documents/Github/VCell_Analysis/3c_run_pyvcell/workspace/ensemble_run3_brcd859,1.1658875106852606,0.020365995391167676,93.34506500601569,0.1770183094601634,0.08067700975291493,1.266891178914838e-07,9.41408601973605,0.24886192164978563,4.487949065161928e-05,1.5503673445784008,51.94820377178609,0.051480054719407926,13.082386997439702,72.90909265958538,0.10586018722603104,0.43788789767486047,0.4232372529710224,((0.001 * vcell_upscaling))*0.9320140474394638,1.6292168920824974,420913.41271641885,271651.642017238,151552.2975666035,348063.38924871286,519095.6436530922,135073.60394674397,107440.9883565382,1390715.3152271588,0.8140816263576129,22.348639615018232,0.0006936482522960176,0.034142823638537184,18.066212494243068,0.5203282238889388,((0.001 * vcell_upscaling))*1.0079035980133721,9.952147267128915,0.009589377042064343,1.5768495038625092,65.068514309949
4,221,0.1,/Users/smgroves/Documents/Github/VCell_Analysis/3c_run_pyvcell/workspace/ensemble_run4_brcd221,1.0729347206219244,0.01999293056917204,76.60443599129628,0.19150893324774576,0.09935876625147043,1.0730696184844044e-07,8.944848948618008,0.2309127047328465,4.2994121529211636e-05,1.6460037149256312,54.6125117053704,0.05381274319953778,11.379238157327148,84.66842437977412,0.08542483737555166,0.39651350510909183,0.4832052841281646,((0.001 * vcell_upscaling))*1.106462155143247,1.486260787567398,401734.69617019774,342261.232132471,157164.2636977688,359129.32839757897,468028.5786885704,157263.86603165275,88367.29106175978,1271272.400092833,0.7389162860980706,19.594855816736423,0.0005770253708726029,0.033249872844440365,19.014262408617707,0.54966434288981,((0.001 * vcell_upscaling))*1.0162233165356758,10.03162969745442,0.010300577741590076,1.6636340533075997,68.41586927159406
5,637,0.1,/Users/smgroves/Documents/Github/VCell_Analysis/3c_run_pyvcell/workspace/ensemble_run5_brcd637,0.9781629783128908,0.018825622091770286,89.67638252811847,0.20212895331860983,0.09060897816435912,1.0993165211787415e-07,7.832522368889334,0.19787175384787736,5.218560827635606e-05,1.7420227119996166,54.91304733961598,0.04670520683617185,13.33847808349839,89.24430831000288,0.0915161314578643,0.3785531316650846,0.4820543686365398,((0.001 * vcell_upscaling))*1.1205528264900109,1.7196896313894543,428570.5743174927,346122.6241086955,132365.5541839,358810.03425437,480807.3914558914,147925.95385833282,110170.8282560131,1153215.8322197208,0.7259239138219477,28.165933041887087,0.00071056454825991,0.04190135999080869,18.91193505172024,0.46146082063561195,((0.001 * vcell_upscaling))*0.912427277704566,12.098284416681153,0.010519959809801816,1.7758209118534645,63.742142894340844
6,576,0.1,/Users/smgroves/Documents/Github/VCell_Analysis/3c_run_pyvcell/workspace/ensemble_run6_brcd576,1.0747585142967042,0.018545361972645,74.63233909198247,0.18098308267539143,0.08697673463943893,1.0755883895296318e-07,9.187804937553238,0.23257840843071,5.470801040203882e-05,1.5155764225315944,53.05599622076049,0.04785710969538865,11.440460581846029,76.67384937597397,0.13721473133900214,0.404850474784848,0.5270990785367357,((0.001 * vcell_upscaling))*0.995163024192698,1.7513085482994126,452844.4365861461,312136.17589107977,155317.54908427398,306089.7462935799,499371.4847378912,118546.32150008285,101872.1738970002,1305536.3603216067,0.6702411444834284,23.43946833325749,0.0006970823966550759,0.037415301065215095,22.483001073324704,0.5329227231669473,((0.001 * vcell_upscaling))*1.0396226074905521,10.950804926882892,0.010819148889648146,1.74946962875266,77.36565426716412
7,765,0.1,/Users/smgroves/Documents/Github/VCell_Analysis/3c_run_pyvcell/workspace/ensemble_run7_brcd765,0.9035715283306546,0.023953145855409617,90.85030509925885,0.20520370119581882,0.10351702330956028,1.160991434343112e-07,9.066560473235292,0.1981848981230302,4.903015971089601e-05,1.405828987884607,52.42949001031474,0.05434700843400824,10.328927445199401,77.67134025229703,0.10782243433510329,0.41063899429929723,0.5266864032410188,((0.001 * vcell_upscaling))*0.9604355081809267,1.5932142521404737,385304.09559266455,314510.9305866783,136767.1048425439,316561.40598038724,422302.896593081,162856.8853767199,113462.21146199008,1200492.816460374,0.7513600498237922,19.1292842014009,0.0006942155524848846,0.03472694118955208,17.845607558608734,0.5945212885335713,((0.001 * vcell_upscaling))*0.9865375375717226,10.430836995540815,0.009669506497171344,1.336314143458087,74.11440054405348
8,468,0.1,/Users/smgroves/Documents/Github/VCell_Analysis/3c_run_pyvcell/workspace/ensemble_run8_brcd468,0.9450656258766466,0.01988540855027958,80.425808917047,0.21306188780632573,0.09082498680698635,1.1292775507997132e-07,8.606539658831958,0.19224585736002356,4.7092396800057515e-05,1.680643371455022,60.406838170667086,0.05452678068683846,13.770419920648951,76.88681836070676,0.10199165373340846,0.3795785838434025,0.5025563780109935,((0.001 * vcell_upscaling))*1.0462467813494454,1.9613734713812099,372875.2284619391,315068.09109336225,155975.2155332831,326282.53529733914,512756.8184904665,153999.49792262848,111829.5873365686,1377375.8395181852,0.6862813935163563,25.480389813794964,0.0008059279333785567,0.03550535209412565,16.820110509744516,0.4942812221491217,((0.001 * vcell_upscaling))*1.0581451183761628,10.740546154726767,0.009645230046450627,1.5589572958249414,69.39380627206944
9,596,0.1,/Users/smgroves/Documents/Github/VCell_Analysis/3c_run_pyvcell/workspace/ensemble_run9_brcd596,0.9785246347869362,0.018061657326743336,97.15809175841544,0.20219753776389832,0.1102139536285887,1.0827489731282437e-07,6.551366699729295,0.23174342290297995,4.220118283719099e-05,1.496082191242659,56.70036351139988,0.05954620318440036,12.028360154482758,90.70989525085102,0.09973830814715715,0.40908456696249235,0.6528553953436947,((0.001 * vcell_upscaling))*0.8622572388813223,1.646640506442683,414253.08724240755,299711.3492216438,153777.98400115006,321690.1822229863,435487.2762914699,166309.65190719324,117425.1853474765,1344840.8598797247,0.6445388889058042,23.995842578406233,0.0005960306475922422,0.03116088404968529,17.982109734672427,0.4794514756672824,((0.001 * vcell_upscaling))*1.1272229954376443,11.135149471713861,0.010273096793888296,1.474756412117255,90.67732930450589
