"Time","pH3_CPCi"
0,0
1,8.86240232059165e-08
2,8.47494918004489e-06
3,1.3508612530909e-05
4,3.02211006369597e-05
5,6.15686277349701e-05
6,0.000102198266387625
7,0.000147255680261827
8,0.000193143852196518
9,0.000237121266963016
10,0.000277224126349711
11,0.000312191797205874
12,0.00034137963209664
13,0.000364609759780401
14,0.000382047554158891
15,0.000394091780460829
16,0.000401287591322729
17,0.000404210087459652
18,0.000403498555813667
19,0.000399743085633556
20,0.00039350263453574
21,0.000385115397202874
22,0.000376182916162321
23,0.000367248124730025
24,0.000358313334023999
25,0.000349378543112157
26,0.000340443751202962
27,0.000331508958401517
28,0.000322574166717968
29,0.00031363938135206
30,0.000298636806701967
31,0.000283546118414675
32,0.000269356167082007
33,0.000256037888970633
34,0.000243545665335451
35,0.000231829027969228
36,0.000220844898526221
37,0.000210529737954906
38,0.000200831185154493
39,0.000191503180418038
40,0.000182180138728173
41,0.000173952318588866
42,0.000166463565467336
43,0.000159102146322797
44,0.000151740743695095
45,0.000145612954583023
46,0.000139810110435095
47,0.000134293637894562
48,0.000128954490798296
49,0.000124066564155853
50,0.000119431363277856
